nom;siren;siret;naf;libelle_naf;groupe_metier;adresse;code_postal;commune;tranche_effectif;date_creation;dirigeants;source_dpe;message_prospection
SCP NOTAIRES MONTMARTRE;589012345;58901234500024;6910Z;Activites juridiques (notaires, avocats);juridique_finance;35 Rue Lepic;75018;PARIS 18;3 a 5;2002-08-15;Me Claire Fournier;75018/75009 - semaine;"Bonjour Me Claire Fournier,

Votre cabinet SCP NOTAIRES MONTMARTRE accompagne des proprietaires et investisseurs immobiliers au quotidien. La reglementation DPE impacte directement la valeur de leur patrimoine (interdiction de location F/G).

Nous proposons un partenariat pour orienter vos clients vers nos solutions de renovation energetique, avec une commission pour chaque mise en relation concretisee.

Echangeons sur les modalites ?

Cordialement,
L'equipe Trudaines Energie"
COURTAGE CREDIT PARIS NORD;690123456;69012345600011;6619B;Autres activites auxiliaires de services financiers;juridique_finance;19 Rue de Clichy;75009;PARIS 9;3 a 5;2016-05-18;Alexandre Simon;75018/75009 - semaine;"Bonjour Alexandre Simon,

Votre cabinet COURTAGE CREDIT PARIS NORD accompagne des proprietaires et investisseurs immobiliers au quotidien. La reglementation DPE impacte directement la valeur de leur patrimoine (interdiction de location F/G).

Nous proposons un partenariat pour orienter vos clients vers nos solutions de renovation energetique, avec une commission pour chaque mise en relation concretisee.

Echangeons sur les modalites ?

Cordialement,
L'equipe Trudaines Energie"
CAFPI COURTIER PARIS 18;701234567;70123456700027;6622Z;Activites des agents et courtiers d'assurances;juridique_finance;28 Rue Championnet;75018;PARIS 18;3 a 5;2010-11-25;Emilie Blanc;75018/75009 - semaine;"Bonjour Emilie Blanc,

Votre cabinet CAFPI COURTIER PARIS 18 accompagne des proprietaires et investisseurs immobiliers au quotidien. La reglementation DPE impacte directement la valeur de leur patrimoine (interdiction de location F/G).

Nous proposons un partenariat pour orienter vos clients vers nos solutions de renovation energetique, avec une commission pour chaque mise en relation concretisee.

Echangeons sur les modalites ?

Cordialement,
L'equipe Trudaines Energie"
ECORENOV IDF;912345678;91234567800023;4329A;Travaux d'isolation;travaux;7 Rue du Poteau;75018;PARIS 18;6 a 9;2017-02-28;David Mercier;75018/75009 - semaine;"Bonjour David Mercier,

Votre entreprise ECORENOV IDF intervient sur des chantiers a proximite de biens recemment diagnostiques. Nous recherchons des artisans partenaires pour constituer notre reseau de renovation energetique (isolation, chauffage, menuiseries).

En devenant partenaire Trudaines, vous beneficiez d'un flux regulier de chantiers qualifies dans les 9e et 18e arrondissements.

Interesse pour en discuter ?

Cordialement,
L'equipe Trudaines Energie"
ISOL CONFORT PARIS;876543212;87654321200015;4329A;Travaux d'isolation;travaux;22 Rue Hermel;75018;PARIS 18;3 a 5;2018-09-05;Julien Aubert;75018/75009 - semaine;"Bonjour Julien Aubert,

Votre entreprise ISOL CONFORT PARIS intervient sur des chantiers a proximite de biens recemment diagnostiques. Nous recherchons des artisans partenaires pour constituer notre reseau de renovation energetique (isolation, chauffage, menuiseries).

En devenant partenaire Trudaines, vous beneficiez d'un flux regulier de chantiers qualifies dans les 9e et 18e arrondissements.

Interesse pour en discuter ?

Cordialement,
L'equipe Trudaines Energie"
PARIS CHAUFFAGE SERVICES;823456701;82345670100020;4322B;Travaux d'installation d'equipements thermiques;travaux;51 Rue Marx Dormoy;75018;PARIS 18;6 a 9;2011-04-12;Pierre Rousseau;75018/75009 - semaine;"Bonjour Pierre Rousseau,

Votre entreprise PARIS CHAUFFAGE SERVICES intervient sur des chantiers a proximite de biens recemment diagnostiques. Nous recherchons des artisans partenaires pour constituer notre reseau de renovation energetique (isolation, chauffage, menuiseries).

En devenant partenaire Trudaines, vous beneficiez d'un flux regulier de chantiers qualifies dans les 9e et 18e arrondissements.

Interesse pour en discuter ?

Cordialement,
L'equipe Trudaines Energie"
ELECTRICITE GENERALE NORD;934567812;93456781200016;4321A;Travaux d'installation electrique;travaux;14 Rue Cadet;75009;PARIS 9;3 a 5;2013-07-19;Antoine Girard;75018/75009 - semaine;"Bonjour Antoine Girard,

Votre entreprise ELECTRICITE GENERALE NORD intervient sur des chantiers a proximite de biens recemment diagnostiques. Nous recherchons des artisans partenaires pour constituer notre reseau de renovation energetique (isolation, chauffage, menuiseries).

En devenant partenaire Trudaines, vous beneficiez d'un flux regulier de chantiers qualifies dans les 9e et 18e arrondissements.

Interesse pour en discuter ?

Cordialement,
L'equipe Trudaines Energie"
CABINET PATRIMOINE HAUSSMANN;545678901;54567890100033;7022Z;Conseil pour les affaires et autres conseils de gestion;juridique_finance;9 Rue de Chateaudun;75009;PARIS 9;3 a 5;2014-10-30;Olivier Andre;75018/75009 - semaine;"Bonjour Olivier Andre,

Votre cabinet CABINET PATRIMOINE HAUSSMANN accompagne des proprietaires et investisseurs immobiliers au quotidien. La reglementation DPE impacte directement la valeur de leur patrimoine (interdiction de location F/G).

Nous proposons un partenariat pour orienter vos clients vers nos solutions de renovation energetique, avec une commission pour chaque mise en relation concretisee.

Echangeons sur les modalites ?

Cordialement,
L'equipe Trudaines Energie"
GESTIMMO PARIS;456789012;45678901200019;6832A;Administration d'immeubles residentiels;immobilier;33 Rue Damremont;75018;PARIS 18;3 a 5;2009-06-14;Nathalie Lambert;75018/75009 - semaine;"Bonjour Nathalie Lambert,

Je me permets de vous contacter car votre agence GESTIMMO PARIS situee 33 Rue Damremont se trouve a proximite de biens recemment diagnostiques (DPE). Nous accompagnons les proprietaires dans la renovation energetique et cherchons des partenaires immobiliers pour identifier ensemble les biens necessitant des travaux.

Notre programme apporteur d'affaires vous offre une commission attractive pour chaque mise en relation aboutissant a un chantier de renovation.

Seriez-vous disponible pour un echange de 15 minutes cette semaine ?

Cordialement,
L'equipe Trudaines Energie"
PLOMBERIE CHAUFFAGE MONTMARTRE;789123456;78912345600018;4322A;Travaux d'installation d'eau et de gaz en tous locaux;travaux;26 Rue Custine;75018;PARIS 18;1 a 2;2019-08-22;Stephane Bonnet;75018/75009 - semaine;"Bonjour Stephane Bonnet,

Votre entreprise PLOMBERIE CHAUFFAGE MONTMARTRE intervient sur des chantiers a proximite de biens recemment diagnostiques. Nous recherchons des artisans partenaires pour constituer notre reseau de renovation energetique (isolation, chauffage, menuiseries).

En devenant partenaire Trudaines, vous beneficiez d'un flux regulier de chantiers qualifies dans les 9e et 18e arrondissements.

Interesse pour en discuter ?

Cordialement,
L'equipe Trudaines Energie"
