id_mutation,date_mutation,annee,adresse,voie,commune,nb_pieces,surface_m2,prix_eur,eur_m2,distance_m,latitude,longitude
2021-1724587,2021-02-09,2021,13 RUE ANDRE DEL SARTE,RUE ANDRE DEL SARTE,75118,2,38.0,443600,11674,287,48.885492,2.346091
2021-1715977,2021-02-11,2021,85 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,3,44.0,494400,11236,173,48.882497,2.346425
2021-1716215,2021-02-15,2021,83 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,1,15.0,220000,14667,232,48.88211,2.345862
2021-1724848,2021-02-18,2021,5 RUE DE SOFIA,RUE DE SOFIA,75118,1,17.0,170000,10000,128,48.884466,2.348984
2021-1724685,2021-02-19,2021,24 BD BARBES,BD BARBES,75118,4,102.0,1028902,10087,256,48.885449,2.349917
2021-1716075,2021-02-23,2021,71 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,1,26.0,295000,11346,216,48.881589,2.347274
2021-1716056,2021-02-25,2021,72 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,2,54.0,560000,10370,197,48.882366,2.346166
2021-1716083,2021-02-26,2021,12 PL D ANVERS,PL D ANVERS,75109,2,47.0,532100,11321,277,48.882547,2.34479
2021-1724886,2021-03-01,2021,10 RUE DES ISLETTES,RUE DES ISLETTES,75118,3,58.0,590000,10172,235,48.884475,2.351123
2021-1725008,2021-03-02,2021,10 RUE PIERRE PICARD,RUE PIERRE PICARD,75118,3,50.0,496036,9921,240,48.884938,2.346068
2021-1724952,2021-03-04,2021,6 RUE DE CLIGNANCOURT,RUE DE CLIGNANCOURT,75118,3,64.0,645000,10078,110,48.884306,2.347791
2021-1716203,2021-03-08,2021,66 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,1,33.0,350000,10606,260,48.881252,2.346927
2021-1725040,2021-03-09,2021,2 RUE DES POISSONNIERS,RUE DES POISSONNIERS,75118,1,25.0,425700,17028,279,48.88559,2.350185
2021-1683162,2021-03-10,2021,6 RUE DES ISLETTES,RUE DES ISLETTES,75118,3,59.0,550000,9322,227,48.884381,2.351074
2021-1683341,2021-03-16,2021,191 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,2,42.0,200000,4762,60,48.883109,2.349064
2021-1724897,2021-03-17,2021,7 RUE LIVINGSTONE,RUE LIVINGSTONE,75118,2,33.0,452000,13697,266,48.884196,2.344928
2021-1716366,2021-03-18,2021,72 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,2,22.0,300000,13636,221,48.881676,2.346845
2021-1724955,2021-03-18,2021,10 RUE PIERRE PICARD,RUE PIERRE PICARD,75118,1,22.0,235000,10682,240,48.884938,2.346068
2021-1725029,2021-03-23,2021,4 RUE D ORSEL,RUE D ORSEL,75118,2,23.0,266000,11565,161,48.8842,2.346534
2021-1683854,2021-03-26,2021,175 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,5,165.0,2006700,12162,192,48.881697,2.348896
2021-1684083,2021-03-26,2021,10 RUE PIERRE PICARD,RUE PIERRE PICARD,75118,2,50.0,670000,13400,240,48.884938,2.346068
2021-1725042,2021-03-26,2021,4 RUE DES POISSONNIERS,RUE DES POISSONNIERS,75118,2,30.0,250000,8333,290,48.885734,2.350093
2021-1683155,2021-03-30,2021,79 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,7,154.0,750000,4870,221,48.881676,2.346845
2021-1683537,2021-03-30,2021,18 BD BARBES,BD BARBES,75118,3,38.0,320000,8421,209,48.884894,2.35007
2021-1684282,2021-04-02,2021,9 RUE DU DELTA,RUE DU DELTA,75109,3,60.0,680000,11333,139,48.882139,2.348256
2021-1683749,2021-04-07,2021,56 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,3,69.0,805000,11667,166,48.881947,2.347787
2021-1683115,2021-04-08,2021,13 RUE DU DELTA,RUE DU DELTA,75109,1,25.0,355000,14200,137,48.882214,2.347817
2021-1684375,2021-04-13,2021,12 BD BARBES,BD BARBES,75118,4,90.0,771600,8573,187,48.884567,2.350197
2021-1684687,2021-04-23,2021,2 RUE LIVINGSTONE,RUE LIVINGSTONE,75118,1,17.0,180000,10588,215,48.88435,2.345814
2021-1684965,2021-04-26,2021,167 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,2,30.0,348650,11622,240,48.881375,2.349546
2021-1684747,2021-04-29,2021,19 BD BARBES,BD BARBES,75118,1,26.0,150000,5769,278,48.885823,2.349258
2021-1685286,2021-05-03,2021,71 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,1,30.0,406200,13540,216,48.881589,2.347274
2021-1685772,2021-05-03,2021,2 AV TRUDAINE,AV TRUDAINE,75109,3,65.0,539850,8305,225,48.882066,2.346026
2021-1685917,2021-05-03,2021,53 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,4,70.0,808000,11543,271,48.881052,2.349393
2021-1685664,2021-05-04,2021,57 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,1,34.0,425000,12500,257,48.881117,2.348974
2021-1686507,2021-05-05,2021,9 RUE DU DELTA,RUE DU DELTA,75109,1,35.0,360000,10286,139,48.882139,2.348256
2021-1685119,2021-05-06,2021,193 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,3,57.0,608350,10673,59,48.883225,2.349125
2021-1686481,2021-05-10,2021,93 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,3,58.0,375000,6466,270,48.88248,2.344931
2021-1686637,2021-05-10,2021,18 RUE DE CLIGNANCOURT,RUE DE CLIGNANCOURT,75118,1,9.0,130000,14444,208,48.885188,2.347585
2021-1685342,2021-05-14,2021,9 BD DE ROCHECHOUART,BD DE ROCHECHOUART,75109,4,50.0,564850,11297,16,48.883248,2.348404
2021-1686213,2021-05-17,2021,5 RUE CHRISTIANI,RUE CHRISTIANI,75118,2,49.0,494050,10083,196,48.885128,2.34881
2021-1686786,2021-05-18,2021,16 RUE DU DELTA,RUE DU DELTA,75109,2,36.0,425050,11807,94,48.882583,2.347984
2021-1685921,2021-05-18,2021,15 RUE DE SOFIA,RUE DE SOFIA,75118,2,56.0,515000,9196,110,48.884306,2.347791
2021-1686352,2021-05-18,2021,7 RUE D ORSEL,RUE D ORSEL,75118,2,26.0,275000,10577,163,48.883851,2.346245
2021-1685557,2021-05-19,2021,5 RUE SEVESTE,RUE SEVESTE,75118,2,25.0,300000,12000,275,48.883596,2.344614
2021-1687444,2021-05-20,2021,82 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,1,24.0,208000,8667,156,48.882308,2.347001
2021-1686973,2021-05-21,2021,71 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,1,30.0,295000,9833,216,48.881589,2.347274
2021-1686168,2021-05-26,2021,13 RUE GERANDO,RUE GERANDO,75109,4,60.0,663000,11050,198,48.882735,2.345837
2021-1687068,2021-05-26,2021,6 IMP DU CADRAN,IMP DU CADRAN,75118,2,23.0,220000,9565,191,48.883713,2.345794
2021-1686972,2021-05-28,2021,12 RUE D ORSEL,RUE D ORSEL,75118,2,20.0,260000,13000,251,48.884166,2.345136
2021-1687545,2021-05-28,2021,4 RUE D ORSEL,RUE D ORSEL,75118,4,58.0,580000,10000,161,48.8842,2.346534
2021-1686780,2021-06-01,2021,10 RUE PIERRE PICARD,RUE PIERRE PICARD,75118,1,20.0,235000,11750,240,48.884938,2.346068
2021-1686975,2021-06-04,2021,87 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,1,15.0,135000,9000,165,48.882579,2.346475
2021-1687642,2021-06-04,2021,183 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,5,130.0,1200000,9231,95,48.882741,2.349211
2021-1687147,2021-06-04,2021,17 RUE D ORSEL,RUE D ORSEL,75118,3,80.0,760650,9508,232,48.883935,2.345303
2021-1687118,2021-06-07,2021,28 BD ROCHECHOUART,BD ROCHECHOUART,75118,1,12.0,123000,10250,68,48.883854,2.347762
2021-1687639,2021-06-08,2021,14 BD BARBES,BD BARBES,75118,3,75.0,605000,8067,195,48.884685,2.350155
2021-1688622,2021-06-10,2021,185 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,2,46.0,524000,11391,95,48.882741,2.349211
2021-1687839,2021-06-11,2021,59 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,1,20.0,215000,10750,251,48.88115,2.348815
2021-1688187,2021-06-11,2021,51 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,4,68.0,856500,12596,279,48.88101,2.349576
2021-1687192,2021-06-15,2021,6 RUE DE CLIGNANCOURT,RUE DE CLIGNANCOURT,75118,1,34.0,468000,13765,110,48.884306,2.347791
2021-1688124,2021-06-15,2021,8 RUE BOISSIEU,RUE BOISSIEU,75118,1,17.0,180000,10588,130,48.8845,2.348924
2021-1688835,2021-06-16,2021,6 RUE GERANDO,RUE GERANDO,75109,2,57.0,621000,10895,248,48.882067,2.345634
2021-1687568,2021-06-17,2021,17 BD DE ROCHECHOUART,BD DE ROCHECHOUART,75109,1,32.0,357412,11169,67,48.883125,2.347535
2021-1687793,2021-06-17,2021,66 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,1,26.0,340000,13077,260,48.881252,2.346927
2021-1687319,2021-06-17,2021,2 RUE BRIQUET,RUE BRIQUET,75118,1,15.0,225000,15000,299,48.883502,2.344279
2021-1687861,2021-06-18,2021,191 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,2,41.0,374000,9122,60,48.883109,2.349064
2021-1689022,2021-06-18,2021,11 RUE DU DELTA,RUE DU DELTA,75109,2,44.0,442000,10045,138,48.882166,2.348034
2021-1688042,2021-06-22,2021,19 RUE GERANDO,RUE GERANDO,75109,3,49.0,605000,12347,162,48.882961,2.346239
2021-1688219,2021-06-22,2021,2 RUE DES POISSONNIERS,RUE DES POISSONNIERS,75118,1,37.0,220000,5946,279,48.88559,2.350185
2021-1689330,2021-06-24,2021,66 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,1,33.0,395000,11970,260,48.881252,2.346927
2021-1689797,2021-06-25,2021,12 PL D ANVERS,PL D ANVERS,75109,4,85.0,1899300,22345,277,48.882547,2.34479
2021-1689447,2021-06-25,2021,13 RUE DE SOFIA,RUE DE SOFIA,75118,3,40.0,467000,11675,123,48.88449,2.348168
2021-1688722,2021-06-28,2021,24 BD BARBES,BD BARBES,75118,2,27.0,390000,14444,256,48.885449,2.349917
2021-1689814,2021-07-01,2021,5 RUE CHRISTIANI,RUE CHRISTIANI,75118,3,69.0,690000,10000,196,48.885128,2.34881
2021-1689166,2021-07-07,2021,10 RUE GERANDO,RUE GERANDO,75109,1,14.0,210000,15000,195,48.882456,2.346111
2021-1688702,2021-07-08,2021,15 RUE ANDRE DEL SARTE,RUE ANDRE DEL SARTE,75118,3,31.0,356300,11494,299,48.885536,2.345892
2021-1689387,2021-07-09,2021,80 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,2,49.0,590500,12051,234,48.882651,2.34537
2021-1689502,2021-07-09,2021,58 BD ROCHECHOUART,BD ROCHECHOUART,75118,1,16.0,250500,15656,252,48.883361,2.344915
2021-1689886,2021-07-13,2021,64 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,3,117.0,1344000,11487,280,48.881058,2.34691
2021-1689618,2021-07-16,2021,58 BD ROCHECHOUART,BD ROCHECHOUART,75118,2,32.0,345000,10781,252,48.883361,2.344915
2021-1690148,2021-07-16,2021,4 RUE DES POISSONNIERS,RUE DES POISSONNIERS,75118,2,30.0,271000,9033,290,48.885734,2.350093
2021-1691009,2021-07-19,2021,10 BD BARBES,BD BARBES,75118,3,60.0,783450,13058,161,48.884326,2.35004
2021-1690535,2021-07-20,2021,92 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,1,15.0,370000,24667,74,48.882927,2.347633
2021-1690627,2021-07-20,2021,7 RUE LIVINGSTONE,RUE LIVINGSTONE,75118,2,45.0,537000,11933,266,48.884196,2.344928
2021-1690685,2021-07-20,2021,60 BD ROCHECHOUART,BD ROCHECHOUART,75118,2,34.0,450000,13235,259,48.883353,2.344824
2021-1689605,2021-07-21,2021,9 RUE DU DELTA,RUE DU DELTA,75109,1,21.0,220000,10476,139,48.882139,2.348256
2021-1690384,2021-07-21,2021,3 RUE BOISSIEU,RUE BOISSIEU,75118,2,32.0,275000,8594,101,48.884225,2.348915
2021-1691447,2021-07-21,2021,10 RUE PIERRE PICARD,RUE PIERRE PICARD,75118,1,20.0,155000,7750,240,48.884938,2.346068
2021-1691469,2021-07-21,2021,102 BD DE LA CHAPELLE,BD DE LA CHAPELLE,75118,3,46.0,340160,7395,251,48.884307,2.351498
2021-1691378,2021-07-22,2021,66 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,1,25.0,306835,12273,260,48.881252,2.346927
2021-1690376,2021-07-22,2021,2 RUE D ORSEL,RUE D ORSEL,75118,4,86.0,828000,9628,161,48.8842,2.346534
2021-1690269,2021-07-26,2021,26 RUE PETRELLE,RUE PETRELLE,75109,2,28.0,379211,13543,277,48.881023,2.347184
2021-1690356,2021-07-26,2021,92 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,3,48.0,569000,11854,74,48.882927,2.347633
2021-1690612,2021-07-28,2021,84 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,2,17.0,277000,16294,126,48.882582,2.347144
2021-1690871,2021-07-28,2021,24 BD BARBES,BD BARBES,75118,5,122.0,1030750,8449,256,48.885449,2.349917
2021-1690815,2021-07-29,2021,26 RUE PETRELLE,RUE PETRELLE,75109,3,31.0,366000,11806,277,48.881023,2.347184
2021-1691175,2021-07-30,2021,6 RUE DU DELTA,RUE DU DELTA,75109,1,27.0,333000,12333,91,48.882692,2.349015
2021-1691761,2021-08-02,2021,10 RUE DU DELTA,RUE DU DELTA,75109,4,110.0,1170000,10636,75,48.882719,2.348439
2021-1691415,2021-08-02,2021,120 BD DE LA CHAPELLE,BD DE LA CHAPELLE,75118,1,11.0,98171,8925,179,48.884286,2.350401
2021-1690766,2021-08-03,2021,54 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,4,84.0,1096700,13056,167,48.881911,2.347982
2021-1691694,2021-08-04,2021,10 BD BARBES,BD BARBES,75118,3,90.0,790000,8778,161,48.884326,2.35004
2021-1690938,2021-08-05,2021,10 PL D ANVERS,PL D ANVERS,75109,1,18.0,217000,12056,275,48.882453,2.344879
2021-1691931,2021-08-05,2021,5 RUE GERANDO,RUE GERANDO,75109,5,96.0,1240000,12917,264,48.882242,2.345193
2021-1691421,2021-08-12,2021,5 RUE GERANDO,RUE GERANDO,75109,3,38.0,461150,12136,264,48.882242,2.345193
2021-1692098,2021-08-23,2021,193 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,3,57.0,575000,10088,59,48.883225,2.349125
2021-1692798,2021-08-23,2021,10 RUE DES ISLETTES,RUE DES ISLETTES,75118,1,14.0,197000,14071,235,48.884475,2.351123
2021-1692081,2021-08-26,2021,6 AV TRUDAINE,AV TRUDAINE,75109,2,60.0,893250,14888,248,48.88202,2.345679
2021-1692258,2021-08-26,2021,10 RUE PIERRE PICARD,RUE PIERRE PICARD,75118,1,18.0,125000,6944,240,48.884938,2.346068
2021-1692135,2021-08-30,2021,175 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,2,54.0,658520,12195,192,48.881697,2.348896
2021-1692303,2021-08-30,2021,42 RUE DE LA CHARBONNIERE,RUE DE LA CHARBONNIERE,75118,2,55.0,545475,9918,258,48.884203,2.351668
2021-1692669,2021-08-30,2021,42 BD ROCHECHOUART,BD ROCHECHOUART,75118,1,17.0,214000,12588,155,48.883636,2.346275
2021-1692046,2021-08-31,2021,15 RUE DE SOFIA,RUE DE SOFIA,75118,2,51.0,585000,11471,110,48.884306,2.347791
2021-1692518,2021-08-31,2021,50 RUE DE LA GOUTTE D OR,RUE DE LA GOUTTE D OR,75118,4,52.0,476000,9154,278,48.885472,2.350465
2021-1692491,2021-09-01,2021,6 IMP DU CADRAN,IMP DU CADRAN,75118,1,10.0,110000,11000,191,48.883713,2.345794
2021-1692737,2021-09-02,2021,56 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,2,39.0,420000,10769,166,48.881947,2.347787
2021-1693308,2021-09-06,2021,92 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,1,45.0,515000,11444,74,48.882927,2.347633
2021-1693580,2021-09-07,2021,71 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,1,27.0,305000,11296,216,48.881589,2.347274
2021-1694465,2021-09-08,2021,5 RUE SEVESTE,RUE SEVESTE,75118,3,53.0,270000,5094,275,48.883596,2.344614
2021-1692687,2021-09-10,2021,2 RUE BRIQUET,RUE BRIQUET,75118,2,25.0,269870,10795,299,48.883502,2.344279
2021-1694265,2021-09-10,2021,10 RUE PIERRE PICARD,RUE PIERRE PICARD,75118,1,15.0,157500,10500,240,48.884938,2.346068
2021-1692691,2021-09-13,2021,82 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,1,23.0,308970,13433,156,48.882308,2.347001
2021-1693343,2021-09-13,2021,6 RUE DE CLIGNANCOURT,RUE DE CLIGNANCOURT,75118,1,23.0,239500,10413,110,48.884306,2.347791
2021-1693643,2021-09-16,2021,10 RUE GERANDO,RUE GERANDO,75109,1,14.0,172400,12314,195,48.882456,2.346111
2021-1693279,2021-09-16,2021,20 RUE DE CLIGNANCOURT,RUE DE CLIGNANCOURT,75118,2,39.0,345000,8846,214,48.885276,2.34776
2021-1693216,2021-09-20,2021,9 BD DE ROCHECHOUART,BD DE ROCHECHOUART,75109,2,45.0,498075,11068,22,48.883224,2.348194
2021-1693665,2021-09-23,2021,71 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,2,60.0,565000,9417,216,48.881589,2.347274
2021-1693690,2021-09-27,2021,167 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,2,29.0,275500,9500,240,48.881375,2.349546
2021-1694957,2021-09-27,2021,19 RUE GERANDO,RUE GERANDO,75109,2,26.0,266000,10231,162,48.882961,2.346239
2021-1695643,2021-09-29,2021,92 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,3,60.0,775000,12917,74,48.882927,2.347633
2021-1694593,2021-09-30,2021,66 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,1,23.0,264762,11511,260,48.881252,2.346927
2021-1694930,2021-09-30,2021,28 RUE PETRELLE,RUE PETRELLE,75109,2,38.0,237830,6259,288,48.880974,2.346963
2021-1693845,2021-09-30,2021,63 RUE DE LA GOUTTE D OR,RUE DE LA GOUTTE D OR,75118,3,45.0,430000,9556,224,48.885013,2.35018
2021-1694296,2021-09-30,2021,60 BD ROCHECHOUART,BD ROCHECHOUART,75118,2,30.0,343100,11437,259,48.883353,2.344824
2021-1695527,2021-10-04,2021,8 AV TRUDAINE,AV TRUDAINE,75109,3,52.0,620000,11923,262,48.88195,2.345519
2021-1694128,2021-10-04,2021,112 BD DE LA CHAPELLE,BD DE LA CHAPELLE,75118,5,130.0,1060700,8159,209,48.884172,2.350964
2021-1695580,2021-10-04,2021,28 BD ROCHECHOUART,BD ROCHECHOUART,75118,3,64.0,745000,11641,68,48.883854,2.347762
2021-1695633,2021-10-07,2021,72 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,3,56.0,661400,11811,221,48.881676,2.346845
2021-1695838,2021-10-07,2021,191 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,1,13.0,160000,12308,60,48.883109,2.349064
2021-1695757,2021-10-08,2021,50 RUE DE LA GOUTTE D OR,RUE DE LA GOUTTE D OR,75118,2,36.0,212312,5898,278,48.885472,2.350465
2021-1696436,2021-10-11,2021,2 AV TRUDAINE,AV TRUDAINE,75109,3,84.0,628000,7476,225,48.882066,2.346026
2021-1694710,2021-10-13,2021,10 RUE GERANDO,RUE GERANDO,75109,1,14.0,144000,10286,195,48.882456,2.346111
2021-1695833,2021-10-14,2021,42 RUE DE LA CHARBONNIERE,RUE DE LA CHARBONNIERE,75118,3,70.0,578500,8264,258,48.884203,2.351668
2021-1695784,2021-10-15,2021,76 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,3,63.0,387603,6152,225,48.882528,2.345573
2021-1696015,2021-10-15,2021,8 AV TRUDAINE,AV TRUDAINE,75109,2,14.0,215250,15375,262,48.88195,2.345519
2021-1694996,2021-10-15,2021,6 RUE DE CLIGNANCOURT,RUE DE CLIGNANCOURT,75118,4,83.0,955100,11507,110,48.884306,2.347791
2021-1696634,2021-10-18,2021,15 RUE DE SOFIA,RUE DE SOFIA,75118,4,107.0,920000,8598,110,48.884306,2.347791
2021-1696320,2021-10-20,2021,4 RUE CHRISTIANI,RUE CHRISTIANI,75118,1,13.0,96000,7385,282,48.885871,2.349169
2021-1696025,2021-10-21,2021,60 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,3,32.0,310906,9716,162,48.882099,2.347346
2021-1696829,2021-10-26,2021,24 BD BARBES,BD BARBES,75118,6,153.0,1295000,8464,256,48.885449,2.349917
2021-1695770,2021-10-27,2021,22 RUE PETRELLE,RUE PETRELLE,75109,4,70.0,782626,11180,283,48.880895,2.347587
2021-1696022,2021-10-27,2021,57 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,3,46.0,535000,11630,257,48.881117,2.348974
2021-1695677,2021-10-28,2021,193 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,1,22.0,238100,10823,59,48.883225,2.349125
2021-1695709,2021-10-28,2021,51 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,3,50.0,689180,13784,279,48.88101,2.349576
2021-1695741,2021-10-29,2021,167 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,1,20.0,188280,9414,240,48.881375,2.349546
2021-1697177,2021-11-05,2021,7 BD DE ROCHECHOUART,BD DE ROCHECHOUART,75109,3,68.0,715000,10515,33,48.883265,2.348764
2021-1697125,2021-11-08,2021,79 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,4,65.0,750000,11538,221,48.881676,2.346845
2021-1696930,2021-11-09,2021,6 RUE DE CLIGNANCOURT,RUE DE CLIGNANCOURT,75118,1,32.0,265000,8281,110,48.884306,2.347791
2021-1698741,2021-11-15,2021,9 RUE DU DELTA,RUE DU DELTA,75109,2,62.0,630000,10161,139,48.882139,2.348256
2021-1697922,2021-11-17,2021,52 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,4,99.0,860000,8687,176,48.881805,2.348358
2021-1698323,2021-11-19,2021,5 SQ PETRELLE,SQ PETRELLE,75109,5,88.0,970900,11033,270,48.88099,2.348948
2021-1697292,2021-11-22,2021,38 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,1,29.0,370650,12781,252,48.881284,2.349615
2021-1697315,2021-11-24,2021,28 RUE PETRELLE,RUE PETRELLE,75109,3,54.0,665000,12315,288,48.880974,2.346963
2021-1697465,2021-11-24,2021,15 RUE DE SOFIA,RUE DE SOFIA,75118,1,34.0,288000,8471,110,48.884306,2.347791
2021-1698584,2021-11-26,2021,8 RUE DU DELTA,RUE DU DELTA,75109,2,51.0,492150,9650,75,48.882719,2.348439
2021-1697545,2021-11-26,2021,4 RUE D ORSEL,RUE D ORSEL,75118,2,25.0,235000,9400,161,48.8842,2.346534
2021-1697715,2021-11-30,2021,8 RUE BELHOMME,RUE BELHOMME,75118,2,34.0,302500,8897,98,48.884228,2.348763
2021-1698131,2021-12-03,2021,6 RUE DES ISLETTES,RUE DES ISLETTES,75118,2,56.0,519000,9268,227,48.884381,2.351074
2021-1698038,2021-12-06,2021,4 RUE D ORSEL,RUE D ORSEL,75118,5,90.0,933000,10367,161,48.8842,2.346534
2021-1698285,2021-12-10,2021,7 RUE LIVINGSTONE,RUE LIVINGSTONE,75118,2,49.0,638455,13030,266,48.884196,2.344928
2021-1699298,2021-12-13,2021,189 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,1,32.0,354800,11088,39,48.883058,2.348545
2021-1698902,2021-12-15,2021,10 RUE PIERRE PICARD,RUE PIERRE PICARD,75118,2,17.0,260000,15294,240,48.884938,2.346068
2021-1699562,2021-12-21,2021,91 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,2,27.0,275000,10185,149,48.882759,2.34657
2021-1700068,2021-12-21,2021,4 RUE ANDRE DEL SARTE,RUE ANDRE DEL SARTE,75118,1,18.0,190500,10583,290,48.885838,2.346976
2021-1699615,2021-12-22,2021,11 BD DE ROCHECHOUART,BD DE ROCHECHOUART,75109,5,88.0,877990,9977,31,48.883234,2.348008
2021-1700007,2021-12-22,2021,71 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,2,36.0,324600,9017,216,48.881589,2.347274
2021-1699888,2021-12-27,2021,10 RUE GERANDO,RUE GERANDO,75109,1,14.0,163000,11643,195,48.882456,2.346111
2021-1699481,2021-12-29,2021,92 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,1,25.0,216000,8640,74,48.882927,2.347633
