Priorité;Tier;Établissement;Type;Gestionnaire;Statut;Adresse;CP;Arr.;Spécialités;Email;Email_OK;Source_email;Téléphone;Site/Contact;Accroche;Directeur;Salutation;Email_direction_verifie;Statut_ciblage
1;A — Prioritaire (privé HDG / RSS);Résidence Seniors Les Hespérides Auteuil Chardon Lagache;résidence services seniors;Les Hespérides;privé commercial;32 rue Chardon Lagache;75016;16e;Très haut standing à taille familiale, accueil 7j/7, veilleurs de nuit;NON TROUVÉ;NON;;NON TROUVÉ;logement-seniors.com — Hespérides Auteuil Chardon Lagache;Résidence services de très haut standing à taille familiale, dans le quartier résidentiel d'Auteuil.;;Madame, Monsieur,;;
1;A — Prioritaire (privé HDG / RSS);Résidence Seniors Les Hespérides Auteuil Mirabeau;résidence services seniors;Les Hespérides;privé commercial;18 rue Mirabeau;75016;16e;Studios et appartements seniors actifs, accès sécurisés, hôtes 7j/7;NON TROUVÉ;NON;;NON TROUVÉ;mappy / pagesjaunes — Hespérides Auteuil Mirabeau;Résidence services pour seniors actifs rue Mirabeau, au cœur d'Auteuil, alternative non médicalisée à l'EHPAD.;;Madame, Monsieur,;;
1;A — Prioritaire (privé HDG / RSS);EHPAD Korian Monceau;EHPAD;Korian (Clariane);privé commercial;26 rue Médéric;75017;17e;98 lits, court séjour, unité Alzheimer, IDE de nuit, APA;NON TROUVÉ;NON;seul relationfamilles@korian.fr (groupe) disponible;01 42 12 95 95;korian.fr — Korian Monceau;À deux pas du parc Monceau, une maison Korian proposant court séjour et unité de vie Alzheimer avec présence infirmière de nuit.;;Madame, Monsieur,;;
1;A — Prioritaire (privé HDG / RSS);EHPAD Le Trèfle Bleu Cardinet;EHPAD;Le Trèfle Bleu (Résidences de Vie);privé commercial;152 rue Cardinet;75017;17e;24 chambres (<25 places), proche square des Batignolles;NON TROUVÉ;NON;;01 40 25 92 92;residencesdevie.fr — Le Trèfle Bleu;Un EHPAD à taille humaine (24 chambres seulement) près du square des Batignolles, idéal pour un accompagnement de proximité.;;Madame, Monsieur,;;
2;B — Fort potentiel (EHPAD privés);EHPAD Korian Magenta;EHPAD;Korian (Clariane);privé commercial;54 rue des Vinaigriers;75010;10e;77 lits permanents + 3 temporaires, unité Alzheimer protégée 22 lits;reception.magenta@korian.fr;OUI;annuaire.action-sociale.org (corroboré contact-ehpad.com, sanitaire-social.com);01 55 26 95 50;korian.fr — EHPAD Korian Magenta;Idéalement situé entre la place de la République et la Gare de l'Est, à deux pas du Canal Saint-Martin, votre établissement bénéficie d'un cadre de quartier parisien vivant rare pour un EHPAD.;Maryse Bellucci;Madame Bellucci,;;
2;B — Fort potentiel (EHPAD privés);EHPAD Dolcéa Les Ambassadeurs Nation;EHPAD;DomusVi (Dolcéa);privé commercial;125-127 rue de Montreuil;75011;11e;90 chambres dont 16 en unité protégée;dir-ambassadeurs-paris@dolcea.fr;OUI;ambassadeurs-paris.dolcea.fr/contacts-et-acces;01 44 93 33 40;https://ambassadeurs-paris.dolcea.fr/contacts-et-acces/;Résidence ouverte en 2010 à deux pas de la place de la Nation, dotée d'une unité protégée de 16 chambres et d'un secrétariat joignable 7j/7 pour les familles.;;Madame, Monsieur,;;
2;B — Fort potentiel (EHPAD privés);EHPAD Korian Les Arcades;EHPAD;Korian (Clariane);privé commercial;116 avenue Daumesnil;75012;12e;97 lits, unité protégée Alzheimer 30 lits, courts/longs séjours;reception.lesarcades@korian.fr;OUI;le-site-de-la-maison-de-retraite.com;01 43 46 26 00;korian.fr — EHPAD Korian Les Arcades;Situé en plein cœur de la Coulée verte (promenade plantée), dans le quartier rénové de Bercy, l'établissement offre aux résidents Alzheimer un environnement calme et arboré.;S. Ouzzani;Madame Ouzzani,;;
2;B — Fort potentiel (EHPAD privés);Résidence Services Seniors Alix (Fondation de Rothschild);résidence services seniors;Fondation de Rothschild;privé associatif/fondation;15 rue Lamblardie;75012;12e;72 studios + 6 deux-pièces, seniors autonomes;residence.service.direction@f-d-r.org;OUI;fondation-de-rothschild.fr — page établissement Alix;01 43 47 52 00;https://www.fondation-de-rothschild.fr/etablissements/residence-service-seniors-alix-retraites/;Cadre verdoyant et calme à deux pas de Nation et du bois de Vincennes, adossé aux établissements gériatriques de la Fondation de Rothschild.;;Madame, Monsieur,;;
2;B — Fort potentiel (EHPAD privés);EHPAD Résidence Jean-Baptiste Carpeaux;EHPAD;Groupe Sedna;privé commercial;197 rue Marcadet;75018;18e;95 lits, unité Alzheimer 11 places;carpeaux-paris@ehpad-sedna.fr;OUI;page contact ehpad-paris.fr + annuaires (pagesjaunes, sanitaire-social);01 85 73 66 53;https://www.ehpad-paris.fr/contact;Maison de retraite médicalisée du groupe Sedna sur la rue Marcadet, avec une unité Alzheimer dédiée.;Adrien Journel;Monsieur Journel,;;
2;B — Fort potentiel (EHPAD privés);EHPAD Résidence Edith Piaf;EHPAD;Emeis (ex-Orpea);privé commercial;50 rue des Bois;75019;19e;97 places, unité Alzheimer 13 places;edithpiaf@orpea.net;OUI;fiches annuaires (sanitaire-social) — ancien domaine @orpea.net, prudence;NON TROUVÉ;emeis.fr — Edith Piaf;Implantée face à l'hôpital Robert-Debré près de la Porte de Pantin, votre maison combine proximité hospitalière et unité Alzheimer dédiée - un positionnement très rassurant pour les familles.;;Madame, Monsieur,;;
2;B — Fort potentiel (EHPAD privés);EHPAD Résidence du Marais;EHPAD;Résidence du Marais (indépendant);privé commercial;11 bis rue Barbette;75003;3e;Petit EHPAD 31 chambres, séjours permanents/convalescence;NON TROUVÉ;NON;;01 53 01 39 39;https://www.residencemarais.com/;Un EHPAD à taille humaine (31 chambres) niché au cœur du Marais, rue Barbette, qui mise sur un cadre de vie intime et central plutôt que sur le volume.;;Madame, Monsieur,;;
2;B — Fort potentiel (EHPAD privés);EHPAD Les Parentèles de la Rue Blanche;EHPAD;Groupe Almage;privé commercial;49 rue Blanche;75009;9e;EHPAD 100% Alzheimer, 64 places permanent + 7 temporaire;NON TROUVÉ;NON;;NON TROUVÉ;https://les-parenteles-rue-blanche.fr/fr;Le seul EHPAD du 9e, entièrement dédié à la maladie d'Alzheimer : le groupe Almage y a fait de l'accompagnement des troubles cognitifs sa spécialité unique, en plein cœur de Paris.;;Madame, Monsieur,;;
2;B — Fort potentiel (EHPAD privés);EHPAD La Maison des Parents;EHPAD;Colisée;privé commercial;67 A rue du Château des Rentiers;75013;13e;117 lits, unité de vie protégée 20 lits, approche Montessori;NON TROUVÉ;NON;;01 53 79 91 91;https://colisee.fr/residences/maison-medicalisee-paris-la-maison-des-parents/;Vos équipes formées à la méthode Montessori et une grande ouverture sur les visites font de votre maison un lieu de vie particulièrement bienveillant.;;Madame, Monsieur,;;
2;B — Fort potentiel (EHPAD privés);EHPAD Résidence Les Gobelins;EHPAD;DomusVi;privé commercial;35 rue Le Brun;75013;13e;93 lits, unité protégée UPPD 33 lits, court séjour;NON TROUVÉ;NON;DomusVi via formulaire;01 44 08 38 00;https://www.domusvi.com/maisons-de-retraite/paris-75/residence-les-gobelins;Face à la Manufacture des Gobelins, votre résidence allie séjours permanents et courts séjours avec une unité protégée de 33 lits dans un quartier emblématique.;;Madame, Monsieur,;;
2;B — Fort potentiel (EHPAD privés);EHPAD Résidence Saint-Jacques;EHPAD;Emeis (ex-Orpea);privé commercial;3 passage Victor Marchand;75013;13e;2 unités Alzheimer (~32 lits) sur ~110-127 places, espaces verts;NON TROUVÉ;NON;;01 89 16 15 00;https://www.emeis.fr/maison-de-retraite-st-jacques-paris-75;Avec deux unités Alzheimer dédiées et des espaces verts, votre résidence du passage Victor Marchand offre une prise en charge complète au cœur du 13e.;;Madame, Monsieur,;;
2;B — Fort potentiel (EHPAD privés);EHPAD Korian Brune;EHPAD;Korian (Clariane);privé commercial;117 boulevard Brune;75014;14e;~99 lits, unité Alzheimer ~17, court séjour, balnéothérapie, restauration Gault&Millau;NON TROUVÉ;NON;seul relationfamilles@korian.fr (groupe) disponible;01 53 90 20 50;korian.fr — Korian Brune;Au cœur du quartier Brune, votre établissement combine balnéothérapie, espace multi-sensoriel et une restauration labellisée Gault&Millau.;;Madame, Monsieur,;;
2;B — Fort potentiel (EHPAD privés);EHPAD Korian Jardins d'Alésia;EHPAD;Korian (Clariane);privé commercial;187 bis avenue du Maine;75014;14e;102 lits, unité Alzheimer ~21, parc arboré privé sécurisé, ateliers thérapeutiques;NON TROUVÉ;NON;seul relationfamilles@korian.fr (groupe) disponible;01 53 90 28 28;korian.fr — Korian Jardins d'Alésia;Niché près de Denfert-Rochereau, votre établissement offre la rare combinaison d'un quartier vivant et d'un parc boisé privé et sécurisé en plein Paris.;;Madame, Monsieur,;;
2;B — Fort potentiel (EHPAD privés);EHPAD Résidence Club Le Montsouris;EHPAD;Résidence Club Le Montsouris (indépendant);privé commercial;18 bis rue d'Alésia;75014;14e;~31 chambres, semi-valides et dépendants, art-thérapie, ateliers mémoire;NON TROUVÉ;NON;;01 43 21 94 00;https://residence-club-le-montsouris.com/fr/notre-residence;Avec une trentaine de chambres seulement, votre résidence cultive un accompagnement personnalisé à taille humaine à deux pas du parc Montsouris.;;Madame, Monsieur,;;
2;B — Fort potentiel (EHPAD privés);EHPAD Résidence Tiers Temps Paris;EHPAD;DomusVi;privé commercial;24 rue Rémy Dumoncel;75014;14e;53 lits, permanent + court séjour, Alzheimer, médiation animale;NON TROUVÉ;NON;DomusVi via formulaire;01 40 64 18 20;https://www.tierstempsparis.com/se-rendre-a-la-residence;Établissement à taille humaine près du parc Montsouris, votre résidence propose aussi bien le court séjour que des ateliers de médiation animale appréciés des résidents.;;Madame, Monsieur,;;
2;B — Fort potentiel (EHPAD privés);EHPAD Résidence Les Issambres;EHPAD;DomusVi;privé commercial;111 boulevard Ney;75018;18e;98 places, unité Alzheimer 24, espace kinésithérapie;NON TROUVÉ;NON;DomusVi via formulaire;01 58 60 34 34;https://www.residencelesissambres.com/se-rendre-a-la-residence;Résidence DomusVi près du Sacré-Cœur, avec unité Alzheimer de 24 places et espace dédié à la kinésithérapie.;;Madame, Monsieur,;;
2;B — Fort potentiel (EHPAD privés);EHPAD Résidence Ornano (Les Intemporelles);EHPAD;DomusVi;privé commercial;10 rue Baudelique;75018;18e;~128 chambres, UPPD, PASA, balnéothérapie, espace multisensoriel;NON TROUVÉ;NON;DomusVi via formulaire;01 85 53 23 40;https://www.intemporellesornano.com/;EHPAD DomusVi doté d'un PASA, d'une salle de balnéothérapie et d'un espace multisensoriel pour l'accompagnement Alzheimer.;;Madame, Monsieur,;;
2;B — Fort potentiel (EHPAD privés);EHPAD Résidence Les Musiciens;EHPAD;Emeis (ex-Orpea);privé commercial;7-9 rue Germaine Tailleferre;75019;19e;Unité protégée Alzheimer, accueil autonomes à dépendants;NON TROUVÉ;NON;emeis.fr non fetchable;01 40 40 54 00;emeis.fr — Les Musiciens;Idéalement située près du Parc de la Villette et du Conservatoire, votre résidence joue déjà la carte du quartier des musiciens : un cadre culturel rare pour vos résidents.;;Madame, Monsieur,;;
2;B — Fort potentiel (EHPAD privés);EHPAD Résidence Océane;EHPAD;DomusVi;privé commercial;23 rue Raoul Wallenberg;75019;19e;106 lits dont 42 en unité protégée Alzheimer, cuisine sur place;NON TROUVÉ;NON;oceaneparis.com non fetchable (403);01 78 09 92 20;https://www.oceaneparis.com/;Avec 42 places sur 106 dédiées à l'unité protégée Alzheimer, l'Océane consacre près de la moitié de sa capacité aux troubles cognitifs : un vrai pôle d'expertise dans le 19e.;;Madame, Monsieur,;;
2;B — Fort potentiel (EHPAD privés);EHPAD Korian Les Amandiers;EHPAD;Korian (Clariane);privé commercial;5 rue des Cendriers;75020;20e;118 lits, unité de vie protégée, Snoezelen, kiné, ergothérapeute;NON TROUVÉ;NON;seul relationfamilles@korian.fr (groupe) disponible;01 43 58 90 00;korian.fr — Korian Les Amandiers;Au cœur du quartier des Amandiers/Ménilmontant, l'établissement gère la dépendance lourde et les troubles psychiatriques avec unité protégée.;;Madame, Monsieur,;;
2;B — Fort potentiel (EHPAD privés);EHPAD Korian Saint-Simon;EHPAD;Korian (Clariane);privé commercial;121-127 bis rue d'Avron;75020;20e;127 lits, unité Alzheimer, soins palliatifs, Parkinson, kiné;NON TROUVÉ;NON;seul relationfamilles@korian.fr (groupe) disponible;01 44 93 63 00;korian.fr — Korian Saint-Simon;Avec ses 127 lits et une expertise affichée en Parkinson et soins palliatifs, Saint-Simon est l'un des plus gros EHPAD privés du 20e.;;Madame, Monsieur,;;
2;B — Fort potentiel (EHPAD privés);EHPAD Korian Terrasses du XXème;EHPAD;Korian (Clariane);privé commercial;5 rue de l'Indre;75020;20e;Unité Alzheimer, espace Snoezelen, kiné, jardin/terrasse;NON TROUVÉ;NON;seul relationfamilles@korian.fr (groupe) disponible;01 44 62 36 00;korian.fr — Korian Terrasses du XXème;Comme son nom l'indique, votre établissement valorise ses terrasses et son jardin en plein 20e - un atout extérieur rare à Paris, complété par un espace Snoezelen.;;Madame, Monsieur,;;
3;C — Associatif/fondation;EHPAD Amitié et Partage;EHPAD;Chemins d'Espérance (assoc.);privé associatif/fondation;83 rue de Sèvres;75006;6e;73 lits, habilité aide sociale, forte vie bénévole;amitieetpartage@cheminsdesperance.org;OUI;annuaire/contact — à recouper (admission.paris@cheminsdesperance.org);01 44 37 34 99;https://www.cheminsdesperance.org/nos-etablissements/amitie-partage/;EHPAD associatif habilité à l'aide sociale à Saint-Germain-des-Prés, porté par Chemins d'Espérance et une vie associative forte autour du bénévolat intergénérationnel.;Christelle Tellier;Madame Tellier,;;
3;C — Associatif/fondation;EHPAD Résidence Antoine Portail;EHPAD;Association Monsieur Vincent;privé associatif/fondation;88 rue du Cherche-Midi;75006;6e;70 lits, PASA Alzheimer, équipe pluridisciplinaire;contact.antoineportail@monsieurvincent.org;OUI;format officiel groupe — à confirmer sur monsieurvincent.org;01 40 49 40 25;https://monsieurvincent.org/residences/residence-antoine-portail/;EHPAD de l'association Monsieur Vincent, héritière de l'œuvre vincentienne, rue du Cherche-Midi, avec un PASA dédié à l'accompagnement en douceur des troubles cognitifs.;Samia Houari;Madame Houari,;;
3;C — Associatif/fondation;EHPAD Bastille;EHPAD;VYV3 Île-de-France (Mutualité);privé associatif/fondation;24 rue Amelot;75011;11e;Unité protégée Cantou 16 lits, habilité aide sociale;accueil.ehpad-bastille@vyv3.fr;OUI;annuaire.action-sociale.org (recoupé VYV3/mutualité);01 88 40 32 00;annuaire-sante.vyv3.fr — EHPAD Bastille;Établissement mutualiste à but non lucratif géré par VYV3, ouvert en 2004 en plein cœur de Bastille, avec une unité protégée Cantou de 16 places.;;Madame, Monsieur,;;
3;C — Associatif/fondation;EHPAD Maison de Retraite Protestante de la Muette;EHPAD;Fondation Diaconesses de Reuilly;privé associatif/fondation;43 rue du Sergent Bauchat;75012;12e;88 places, accompagnement fin de vie, inspiration protestante;LaMuette@fondationdiaconesses.org;OUI;papyhappy.fr — fiche Protestante de la Muette;01 43 43 12 15;https://lesdiaconesses.org/maison-de-retraite-protestante-de-la-muette/;Fondée en 1856 à l'initiative du Consistoire réformé de Paris, La Muette porte la devise « Accueillir pour cheminer ensemble » et est installée face à l'hôpital des Diaconesses depuis 1894.;;Madame, Monsieur,;;
3;C — Associatif/fondation;EHPAD La Maison du Parc;EHPAD;Adef Résidences;privé associatif/fondation;81 bis rue de l'Amiral Mouchez;75013;13e;100 lits, unité Alzheimer protégée 36 lits;paris13@adefresidences.com;OUI;PagesJaunes (pros/53986511) + allbiz.fr;01 58 10 09 20;https://adef-residences.com/etablissement/perte-autonomie/la-maison-du-parc/;Avec 36 places sur 100 dédiées à une unité Alzheimer protégée, votre établissement associatif Adef se distingue par son fort engagement sur les troubles cognitifs.;Caroline Chaussard;Madame Chaussard,;dir.paris13@adefresidences.com;
3;C — Associatif/fondation;Maison de Retraite des Sœurs Augustines;EHPAD;Sœurs Augustines (groupe Adeodat);privé associatif/fondation;29 rue de la Santé;75013;13e;Unité Alzheimer / unité protégée;accueil@augustines-paris.fr;OUI;adeodat.fr / fiche établissement Sœurs Augustines;01 43 36 52 09;https://paris.adeodat.fr/contact/;Portée par la Congrégation des Sœurs Augustines, votre maison cultive une approche profondément humaine et spirituelle de l'accompagnement, dans un cadre paisible rue de la Santé.;;Madame, Monsieur,;;
3;C — Associatif/fondation;EHPAD Saint-Augustin;EHPAD;Assoc. Notre Dame de Bon Secours;privé associatif/fondation;68 rue des Plantes, Bât. B;75014;14e;EHPAD 100% Alzheimer, 98 lits, 3 unités protégées + UHR;ehpadsaintaugustin@ndbs.org;OUI;essentiel-autonomie.com (fiche EHPAD Saint Augustin 750047714);01 40 52 54 30;https://www.ndbs.org/etablissements/ehpad-saint-augustin/;Entièrement dédié à la maladie d'Alzheimer, votre établissement structure son accompagnement autour de trois unités protégées et d'une unité d'hébergement renforcée.;Astrid de Compiègne;Madame de Compiègne,;;
3;C — Associatif/fondation;EHPAD COS Jacques Barrot;EHPAD;Fondation COS Alexandre Glasberg;privé associatif/fondation;16 rue Gilbert Cesbron;75017;17e;100 chambres, unité protégée 16, hébergement temporaire répit, PASA 14;ehpadjbarrot@cos-asso.org;OUI;annuaire.action-sociale.org — fiche Jacques Barrot;01 43 13 10 01;https://www.fondationcos.org/residence-medicalisee-cos-jacques-barrot;Ouvert début 2016 au cœur de l'écoquartier Clichy-Batignolles, avec PASA et unité protégée pensés pour l'accompagnement Alzheimer.;Odile Meyer;Madame Meyer,;;
3;C — Associatif/fondation;EHPAD Centre Robert Doisneau;EHPAD;Fondation OVE;privé associatif/fondation;51 rue René Clair;75018;18e;EHPAD, métro Marcadet-Poissonniers;direction@fondation-ove.fr;OUI;site Fondation OVE — email de direction de la fondation gestionnaire;01 53 09 83 00;https://www.fondation-ove.fr/etablissements/ove-ehpad-centre-robert-doisneau/;EHPAD géré par la Fondation OVE, idéalement desservi par le métro Marcadet-Poissonniers dans le 18e.;;Madame, Monsieur,;;FERMÉ - exclure
3;C — Associatif/fondation;EHPAD Les Jardins de Montmartre;EHPAD;Univi;privé associatif/fondation;18 rue Pierre Picard;75018;18e;98 lits, Cantou Alzheimer 25 places;accueil.jardinsdemontmartre@univi.fr;OUI;ehpad.fr — fiche Les Jardins de Montmartre + annuaires concordants;01 42 57 84 84;univi.fr — Les Jardins de Montmartre;EHPAD du groupe Univi au pied de la Butte Montmartre, avec un Cantou Alzheimer de 25 places.;Cassandre Richard;Madame Richard,;;
3;C — Associatif/fondation;EHPAD Résidence Les Airelles;EHPAD;Univi;privé associatif/fondation;8-12 rue des Panoyaux;75020;20e;87 lits, quartier Ménilmontant, chambres PMR, animation (chorale, musicothérapie);accueil.lesairelles@univi.fr;OUI;recherche web — format @univi.fr, à reconfirmer;01 46 36 35 50;univi.fr — Les Airelles;En plein Ménilmontant, Les Airelles cultive une vie sociale animée (chorale, musicothérapie, jardinage) qui en fait une maison à taille humaine très appréciée.;;Madame, Monsieur,;;
3;C — Associatif/fondation;EHPAD Ma Maison Notre-Dame des Champs;EHPAD;Petites Sœurs des Pauvres;privé associatif/fondation;49 rue Notre-Dame des Champs;75006;6e;~66 lits + studios, accueil familial, habilité aide sociale;NON TROUVÉ;NON;;01 45 44 72 90;https://petitessoeursdespauvres.org/maison/paris-notre-dame-des-champs/;Maison tenue par les Petites Sœurs des Pauvres dans la tradition de Jeanne Jugan : une communauté religieuse et de nombreux bénévoles pour un accueil profondément familial.;;Madame, Monsieur,;;
3;C — Associatif/fondation;EHPAD COS Jeanne d'Arc;EHPAD;Fondation COS Alexandre Glasberg;privé associatif/fondation;21 rue du Général Bertrand;75007;7e;71 chambres, unité Alzheimer protégée 9 places, bâtiment 1917 rénové 2007;NON TROUVÉ;NON;;01 53 86 05 70;https://www.fondationcos.org/residence-medicalisee-cos-jeanne-darc;Établissement de la Fondation COS installé dans un édifice de 1917 (ancien foyer d'étudiantes) rénové en 2007, alliant histoire parisienne et unité Alzheimer protégée.;;Madame, Monsieur,;;
3;C — Associatif/fondation;EHPAD Ma Maison Breteuil;EHPAD;Petites Sœurs des Pauvres;privé associatif/fondation;62 avenue de Breteuil;75007;7e;48 lits + 18 studios, accueil familial, habilité aide sociale;NON TROUVÉ;NON;;01 45 67 97 05;https://petitessoeursdespauvres.org/maison/paris-breteuil/;Maison des Petites Sœurs des Pauvres avenue de Breteuil, dans la grande tradition de Jeanne Jugan : un accueil familial et bienveillant centré sur le partage et la convivialité.;;Madame, Monsieur,;;
3;C — Associatif/fondation;EHPAD Maison de Retraite et de Gériatrie Fondation de Rothschild;EHPAD;Fondation de Rothschild;privé associatif/fondation;76 rue de Picpus;75012;12e;Grande capacité, PASA, expertise Alzheimer, parc arboré;NON TROUVÉ;NON;;01 43 47 52 00;https://www.fondation-de-rothschild.fr/etablissements/maison-de-retraite-et-de-geriatrie-paris-12/;Installée au cœur du 12e dans un beau parc arboré, la maison de la Fondation de Rothschild a développé une expertise reconnue de la maladie d'Alzheimer.;;Madame, Monsieur,;;
3;C — Associatif/fondation;EHPAD Petites Sœurs des Pauvres — Ma Maison Picpus;EHPAD;Petites Sœurs des Pauvres;privé associatif/fondation;71 rue de Picpus;75012;12e;68 lits, reconstruit 2017, accueil familial;NON TROUVÉ;NON;;01 43 43 43 40;https://petitessoeursdespauvres.org/maison/paris-picpus/;"Les Petites Sœurs des Pauvres se sont installées rue de Picpus dès 1869 ; « Ma Maison » a rouvert en 2017 dans des locaux entièrement reconstruits.";;Madame, Monsieur,;;
3;C — Associatif/fondation;EHPAD Résidence Catherine Labouré;EHPAD;Association Monsieur Vincent;privé associatif/fondation;77 rue de Reuilly;75012;12e;106 lits, PASA 14 places;NON TROUVÉ;NON;;01 81 70 21 00;https://monsieurvincent.org/residences/residence-catherine-laboure/;Sur le site même où Sœur Catherine Labouré œuvra auprès des plus démunis jusqu'en 1876, la résidence porte un projet intergénérationnel reconnu.;;Madame, Monsieur,;;
3;C — Associatif/fondation;EHPAD Résidence La Pirandelle;EHPAD;OMEG'Âge Gestion;privé associatif/fondation;6 rue Pirandello;75013;13e;85 chambres individuelles, hébergement permanent;NON TROUVÉ;NON;;01 45 35 26 30;action-sociale.org — Résidence La Pirandelle;Avec 85 chambres individuelles et un tarif parmi les plus accessibles du 13e, votre résidence associative offre un cadre à taille humaine proche de la place d'Italie.;;Madame, Monsieur,;;
